source_root,source_file,round_id,family,task_id,instance_id,implementation_source,paper_facing_allowed,paper_role,evidence_class,replay_class,driver_id,driver_type,driver_version,model_family,model_id,model_size,model_backend,backend_engine,policy_version,prompt_template_hash,action_parser_version,budget,seed,evidence_validation_pass,trace_hash,artifact_hash,eval_hash,evaluator_output_hash,evaluator_version,real_upstream_live,real_upstream_replay,browser_backend,browser_version,upstream_package_version,repo,base_commit,harness_version,image_or_sif_hash,smoke_only,fixture_only,unsupported_backend_pair,regime,decision_label,decision_labels,measurable_queueing,significant_queueing,dominant_queueing,natural_failure_diversity_supported,dominant_failure_category,dominant_failure_share,p99_increase_supported,component_shift_supported,behavior_shift_supported,controller_reversal_supported,operating_point_shift_supported,end_to_end_p99_ms,dom_get_ms,screenshot_ms,network_or_har_ms,render_or_page_wait_ms,navigation_ms,exclusion_reason,concurrency,task_count,mean_duration_ms,makespan_s,throughput_per_s,row_id,telemetry_mode,duration_ms,overhead_pct,backend,reward,terminated,truncated,summary_path,manifest_path,patch_condition,offered_load,verifier_workers,queue_cap,passed,model_latency_ms,build_ms,test_ms,verifier_service_ms,verifier_queue_wait_ms,retry_count,failure_mode,failure_origin,error_class,score,task_manifest_hash,site,task_success,prompt_tokens,completion_tokens,total_tokens,invalid_action,parse_status,env_steps,patch_hash,patch_length,patch_apply_success,patch_parse_status,backend_version,capture_timestamp,environment_id,extra_headers_hash,final_url,gcp_public_host,model_path_hash,model_path_or_hf_id,model_revision,model_version,pbs_job_id,run_id,start_url,REDACTED_BROWSER_STATE_LABEL_hash,suite_version,task_family,tokenizer_hash,trace_id,trace_schema_version,upstream_commit,verifier_id,verifier_version,events_path,image_digest,image_digest_or_sif_hash,local_repo_path,sif_hash,snapshot_id,upstream_dataset_version,mode,trace_path,validation_pass,patch_apply_error,episode_id,end_to_end_ms,clean_p99_latency_ms,stressed_p99_latency_ms,clean_pass_rate,stressed_pass_rate,clean_render_wait_share,stressed_render_wait_share,clean_network_align_share,stressed_network_align_share,clean_invalid_action_rate,stressed_invalid_action_rate,model_size_b,seed_count,episode_count,end_to_end_latency_ms_mean,end_to_end_latency_ms_p50,end_to_end_latency_ms_p95,end_to_end_latency_ms_p99,model_latency_ms_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,invalid_action_rate,task_success_rate,reward_auc_over_wallclock_mean,trace_completeness_rate
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/enter-text,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:1,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042402_896d5ff8/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042402_896d5ff8/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/focus-text,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:2,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042417_f346ebb6/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042417_f346ebb6/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-checkboxes,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:3,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042432_8188f8b0/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042432_8188f8b0/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-link,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:4,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042447_498f503a/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042447_498f503a/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-option,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:5,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042502_a272658c/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042502_a272658c/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/count-shape,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:6,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042517_668047cc/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042517_668047cc/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/count-sides,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:7,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042532_1103753a/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042532_1103753a/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/drag-box,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:8,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042547_21c7aa3d/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042547_21c7aa3d/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/email-inbox,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:9,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042602_ac317cd7/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042602_ac317cd7/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/find-word,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:10,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042617_4ad84aa5/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042617_4ad84aa5/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic,miniwob/telemetry/basic/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/login-user,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:11,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042632_26d6ef63/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/basic/miniwob_20260424_042632_26d6ef63/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-button,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:0,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042649_708985c0/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042649_708985c0/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/enter-text,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:1,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042704_495e2345/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042704_495e2345/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/focus-text,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:2,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042719_888d741f/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042719_888d741f/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-checkboxes,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:3,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042734_9aec1aa8/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042734_9aec1aa8/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-link,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:4,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042749_91095f12/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042749_91095f12/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/click-option,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:5,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042804_de604ed0/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042804_de604ed0/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/count-shape,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:6,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042820_3f6b3464/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042820_3f6b3464/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full,miniwob/telemetry/full/aggregate_real.csv,ROUND1_REAL_TASK_CUTOVER,,miniwob/count-sides,,,false,appendix_only,real_task_cutover,,,,playwright-1.44.0,,,,,,,,,,,,,,,,,,,,Chromium 125.0.6422.26,0.14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_marked_paper_facing,,,,,,aggregate_real.csv:7,,,,browsergym_miniwob,0.0,False,False,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042835_ed1735ad/summary.json,artifact_release_root/rounds/round1_real_task_cutover/miniwob/telemetry/full/miniwob_20260424_042835_ed1735ad/run_manifest.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
